,YearsExperience,Salary
94,3.2,87036.0
95,19.1,593628.0
96,49.8,2347057.0
97,26.5,920719.0
98,48.6,2270190.0
99,43.0,1902739.0
100,0.6,42604.0
101,36.0,1420686.0
102,34.1,1361981.0
103,26.8,934920.0
104,13.3,395334.0
105,32.0,1226624.0
106,5.6,147741.0
107,21.7,712010.0
108,22.7,751916.0
109,47.7,2243526.0
110,43.8,1948568.0
111,13.2,367029.0
112,25.0,835780.0
113,8.9,245182.0
114,45.6,2074903.0
115,43.5,1938955.0
116,14.9,442631.0
117,31.9,1207599.0
118,30.4,1139209.0
119,7.6,204240.0
120,38.1,1600767.0
121,27.0,950953.0
122,38.9,1626412.0
123,26.5,917116.0
124,0.0,27697.0
125,16.2,497598.0
126,1.0,46371.0
127,46.5,2154674.0
128,43.9,1977427.0
129,41.6,1804578.0
130,15.4,460959.0
131,2.9,91154.0
132,43.9,1971892.0
133,47.3,2213678.0
134,4.3,113178.0
135,24.3,826773.0
136,3.5,95787.0
137,38.0,1560574.0
138,38.3,1579289.0
139,6.4,164962.0
140,23.8,833591.0
141,27.5,1007466.0
142,13.3,379931.0
143,43.6,1960637.0
144,21.2,675891.0
145,10.6,307138.0
146,27.0,950628.0
147,36.5,1464716.0
148,10.1,277672.0
149,15.6,456997.0
150,49.8,2427258.0
151,32.5,1279955.0
152,21.9,688392.0
153,25.9,910481.0
154,6.1,172583.0
155,11.2,298276.0
156,16.9,500133.0
157,29.4,1113586.0
158,11.5,312278.0
159,11.0,301664.0
160,3.5,95842.0
161,31.6,1185606.0
162,11.4,316632.0
163,45.3,2074632.0
164,43.0,1894187.0
165,3.5,97264.0
166,11.9,328037.0
167,33.4,1294869.0
168,10.7,290992.0
169,6.6,178802.0
170,46.8,2218055.0
171,28.6,1041028.0
172,23.6,787661.0
173,39.2,1692672.0
174,40.4,1733182.0
175,9.5,254905.0
176,4.8,126760.0
177,21.6,700345.0
178,21.2,689852.0
179,23.4,772179.0
180,36.5,1482831.0
181,33.7,1337206.0
182,49.2,2384350.0
183,4.9,136913.0
184,20.1,629483.0
185,17.0,501112.0
186,43.1,1927485.0
187,12.4,347146.0
188,9.5,270103.0
189,22.4,737990.0
190,21.1,677606.0
191,13.9,390020.0
192,12.5,352788.0
193,46.2,2081276.0
194,22.2,740163.0
195,43.1,1875451.0
196,27.5,959779.0
197,2.5,78619.0
198,50.0,2417615.0
199,41.8,1845583.0
200,48.4,2294620.0
201,46.3,2186580.0
202,42.4,1861421.0
203,8.3,226239.0
204,24.3,824908.0
205,10.7,307587.0
206,20.1,616848.0
207,2.9,85126.0
208,18.9,584796.0
209,49.3,2362252.0
210,13.3,364188.0
211,39.2,1656020.0
212,22.8,755221.0
213,21.2,701640.0
214,47.9,2268620.0
215,49.8,2400990.0
216,27.8,979469.0
217,35.9,1477825.0
218,7.7,199179.0
219,14.8,430979.0
220,48.4,2265653.0
221,29.0,1056192.0
222,27.1,931893.0
223,37.4,1538896.0
224,2.9,87909.0
225,29.2,1077978.0
226,25.1,852210.0
227,42.6,1864191.0
228,7.9,210958.0
229,48.0,2333940.0
230,4.0,112169.0
231,9.3,252236.0
232,29.8,1112433.0
233,33.8,1334760.0
234,11.8,330625.0
235,6.0,162663.0
236,44.5,1984475.0
237,12.3,341373.0
238,29.7,1096255.0
239,31.0,1153173.0
240,21.0,681169.0
241,29.2,1072715.0
242,26.1,913344.0
243,46.7,2180455.0
244,10.2,281572.0
245,35.8,1444312.0
246,11.9,320232.0
247,19.8,630643.0
248,33.6,1317030.0
249,15.0,419873.0
250,15.8,477145.0
251,37.6,1516879.0
252,3.6,103040.0
253,22.9,736368.0
254,49.9,2396846.0
255,49.8,2418082.0
256,3.7,119676.0
257,10.7,273279.0
258,13.3,390199.0
259,46.7,2155749.0
260,44.0,1978033.0
261,44.0,1988764.0
262,18.5,575082.0
263,7.9,206497.0
264,41.7,1853369.0
265,35.2,1421061.0
266,30.6,1163553.0
267,49.4,2328483.0
268,32.7,1297358.0
269,0.4,37121.0
270,40.9,1752858.0
271,15.0,444972.0
272,33.2,1289646.0
273,46.9,2205082.0
274,6.7,177539.0
275,5.8,155562.0
276,5.4,142566.0
277,27.7,977591.0
278,13.6,390196.0
279,30.2,1161808.0
280,35.9,1453749.0
281,10.2,288786.0
282,31.7,1206851.0
283,13.2,369579.0
284,24.4,819856.0
285,45.3,2104212.0
286,42.3,1838036.0
287,4.6,124194.0
288,21.2,678413.0
289,13.8,381741.0
290,0.2,34212.0
291,38.6,1602259.0
292,31.9,1193341.0
293,13.1,368464.0
294,37.1,1475044.0
295,27.6,996167.0
296,21.4,677717.0
297,0.5,34733.0
298,3.8,111347.0
299,44.2,2064924.0
300,45.2,2081494.0
301,27.3,951531.0
302,41.7,1831357.0
303,29.1,1081519.0
304,7.4,198929.0
305,6.4,168945.0
306,15.4,438312.0
307,44.9,1991408.0
308,39.8,1683136.0
309,43.0,1897968.0
310,44.9,2067562.0
311,10.5,284558.0
312,12.5,336550.0
313,5.1,140919.0
314,39.0,1639328.0
315,44.2,2010605.0
316,20.3,663928.0
317,31.0,1180352.0
318,7.7,207641.0
319,46.5,2147481.0
320,43.2,1917287.0
321,48.8,2315738.0
322,40.5,1753864.0
323,44.1,1989654.0
324,1.2,49858.0
325,36.8,1499937.0
326,16.6,504699.0
327,46.5,2166515.0
328,40.1,1728848.0
329,43.2,1886237.0
330,40.5,1744033.0
331,13.3,380892.0
332,39.4,1684969.0
333,5.4,144370.0
334,43.6,1907472.0
335,42.9,1891155.0
336,11.1,305755.0
337,40.8,1751277.0
338,23.0,786047.0
339,15.3,430315.0
340,39.8,1678383.0
341,11.4,307753.0
342,1.2,55977.0
343,9.7,262865.0
344,16.4,474917.0
345,43.2,1910685.0
346,48.3,2275643.0
347,14.0,413548.0
348,32.1,1214616.0
349,20.0,646896.0
350,49.1,2314607.0
351,26.8,951487.0
352,47.0,2232355.0
353,5.8,168138.0
354,48.5,2312038.0
355,8.9,244731.0
356,48.1,2258472.0
357,13.3,370136.0
358,5.4,136779.0
359,21.7,716259.0
360,36.4,1478919.0
361,15.7,458759.0
362,30.3,1157351.0
363,25.6,907607.0
364,19.3,607482.0
365,28.8,1081468.0
366,12.7,353379.0
367,35.4,1389369.0
368,0.1,34848.0
369,46.3,2117722.0
370,26.9,960347.0
371,36.0,1422960.0
372,37.1,1540107.0
373,33.5,1345983.0
374,18.2,547092.0
375,3.5,96182.0
376,33.2,1273353.0
377,16.5,488345.0
378,15.7,448706.0
379,42.4,1867972.0
380,36.0,1495228.0
381,15.0,434311.0
382,15.5,456969.0
383,20.4,630676.0
384,20.1,636920.0
385,14.8,426251.0
386,6.4,177952.0
387,21.0,681616.0
388,47.0,2171412.0
389,33.9,1347678.0
390,45.1,2058730.0
391,30.8,1152328.0
392,15.0,435993.0
393,27.4,975130.0
394,0.0,31058.0
395,14.3,412050.0
396,21.5,721443.0
397,29.0,1055180.0
398,32.7,1251925.0
399,23.2,770133.0
400,22.1,750756.0
401,10.7,285939.0
402,23.7,764895.0
403,45.1,2064488.0
404,39.8,1691101.0
405,8.5,220358.0
406,4.2,117488.0
407,25.8,886298.0
408,31.6,1205471.0
409,16.8,506634.0
410,40.9,1789533.0
411,37.6,1553372.0
412,33.6,1307112.0
413,11.2,315983.0
414,10.0,268912.0
415,1.2,56207.0
416,12.2,359292.0
417,23.8,813462.0
418,42.5,1859010.0
419,3.6,99751.0
420,20.7,661900.0
421,31.5,1151352.0
422,9.7,257841.0
423,34.8,1399229.0
424,24.7,869978.0
425,12.2,328301.0
426,32.8,1304484.0
427,0.3,36778.0
428,37.5,1545221.0
429,38.5,1608592.0
430,5.3,136622.0
431,21.3,701958.0
432,8.8,232486.0
433,47.9,2234782.0
434,25.9,920397.0
435,2.5,80214.0
436,12.5,323642.0
437,42.4,1841167.0
438,22.8,745473.0
439,40.1,1710761.0
440,33.4,1268184.0
441,49.4,2394460.0
442,29.8,1102100.0
443,47.5,2230274.0
444,44.6,2001673.0
445,30.6,1126479.0
446,36.0,1459593.0
447,25.2,839536.0
448,41.5,1813859.0
449,27.4,984872.0
450,44.9,2031747.0
451,37.2,1522339.0
452,23.7,786389.0
453,13.0,359005.0
454,12.4,333382.0
455,31.9,1214453.0
456,38.3,1622044.0
457,26.1,922719.0
458,31.3,1166728.0
459,13.7,383982.0
460,3.9,106471.0
461,14.3,424097.0
462,13.6,391794.0
463,16.0,453655.0
464,27.0,946797.0
465,6.9,184218.0
466,11.6,309730.0
467,34.7,1389065.0
468,35.3,1394041.0
469,3.2,97329.0
470,20.4,641218.0
471,27.1,972569.0
472,20.8,662802.0
473,10.3,279057.0
474,21.0,676202.0
475,45.2,2025200.0
476,29.2,1107356.0
477,34.8,1357230.0
478,42.8,1864138.0
479,38.3,1611532.0
480,19.0,568928.0
481,0.3,37182.0
482,17.6,521081.0
483,37.7,1577199.0
484,42.7,1911100.0
485,47.7,2265836.0
486,21.0,662405.0
487,37.4,1491867.0
488,27.3,976729.0
489,30.2,1103316.0
490,11.0,306056.0
491,11.0,284189.0
492,21.8,707278.0
493,1.5,56159.0
494,16.8,496655.0
495,34.0,1351458.0
496,20.2,647315.0
497,8.3,214667.0
498,23.4,768554.0
499,6.4,167716.0
500,31.1,1178246.0
501,1.3,53880.0
502,19.7,635075.0
503,28.2,1000091.0
504,1.4,54353.0
505,32.1,1210558.0
506,6.8,170672.0
507,23.1,759806.0
508,2.5,75086.0
509,19.0,582235.0
510,10.6,298324.0
511,16.3,469483.0
512,38.1,1578133.0
513,19.0,580408.0
514,37.6,1604397.0
515,41.6,1826653.0
516,12.6,344622.0
517,4.1,114157.0
518,1.0,43280.0
519,27.0,950212.0
520,50.0,2421221.0
521,17.5,531059.0
522,32.5,1251679.0
523,39.1,1614871.0
524,32.6,1272443.0
525,37.7,1530587.0
526,47.5,2236649.0
527,10.0,273343.0
528,1.0,45571.0
529,7.6,211306.0
530,6.3,161216.0
531,33.5,1313283.0
532,28.2,1012481.0
533,10.9,303475.0
534,35.0,1400860.0
535,38.3,1574408.0
536,8.4,216671.0
537,30.4,1136871.0
538,37.4,1550289.0
539,5.7,154099.0
540,41.0,1750133.0
541,48.2,2305138.0
542,5.4,129936.0
543,1.3,52245.0
544,15.6,458458.0
545,33.9,1359494.0
546,47.9,2267217.0
547,19.8,604697.0
548,35.8,1437760.0
549,3.8,107461.0
550,34.5,1405990.0
551,31.4,1168310.0
552,5.1,133757.0
553,38.6,1597073.0
554,42.5,1889371.0
555,30.0,1097357.0
556,6.1,175035.0
557,49.2,2410776.0
558,39.1,1701804.0
559,17.4,520944.0
560,21.4,684578.0
561,18.5,562941.0
562,25.3,881418.0
563,17.1,510805.0
564,42.5,1864250.0
565,41.1,1752939.0
566,5.3,132285.0
567,48.0,2261229.0
568,31.8,1181516.0
569,41.4,1787470.0
570,35.4,1405500.0
571,21.8,708033.0
572,36.7,1479708.0
573,48.3,2283512.0
574,13.5,389331.0
575,40.4,1756819.0
576,26.9,970861.0
577,24.2,802503.0
578,21.8,704227.0
579,36.6,1499584.0
580,13.4,350498.0
581,42.6,1901075.0
582,41.5,1829480.0
583,4.3,114873.0
584,44.1,1979881.0
585,12.2,330383.0
586,23.2,778224.0
587,30.5,1121176.0
588,18.9,590762.0
589,1.4,62664.0
590,42.5,1825945.0
591,9.1,252954.0
592,10.6,294928.0
593,39.9,1701093.0
594,17.0,499179.0
595,44.0,1995353.0
596,35.1,1378222.0
597,13.8,389235.0
598,0.5,33807.0
599,47.4,2270040.0
600,4.3,110899.0
601,36.0,1421599.0
602,24.4,863478.0
603,37.9,1573338.0
604,34.5,1382728.0
605,32.3,1257061.0
606,24.5,859449.0
607,39.6,1679961.0
608,4.7,124111.0
609,11.1,313752.0
610,34.6,1359284.0
611,15.3,465425.0
612,29.1,1059806.0
613,23.7,795530.0
614,26.5,914979.0
615,21.3,678347.0
616,37.3,1545801.0
617,16.5,487913.0
618,35.1,1423367.0
619,13.5,362037.0
620,12.6,358970.0
621,6.0,163140.0
622,9.6,266878.0
623,6.0,165854.0
624,26.8,962364.0
625,38.1,1577693.0
626,9.3,243812.0
627,10.8,292887.0
628,24.2,831423.0
629,36.2,1461794.0
630,48.8,2370724.0
631,26.2,928234.0
632,14.1,399312.0
633,5.0,138654.0
634,9.7,259862.0
635,11.4,306084.0
636,9.0,245061.0
637,0.7,44363.0
638,26.7,946516.0
639,13.7,388748.0
640,48.7,2346763.0
641,27.7,1002512.0
642,34.9,1379338.0
643,6.3,166757.0
644,43.4,1962775.0
645,24.5,845643.0
646,43.6,1936967.0
647,28.7,1006112.0
648,23.5,779070.0
649,22.0,731345.0
650,9.2,249223.0
651,2.6,77327.0
652,47.1,2212219.0
653,23.9,773972.0
654,41.1,1794613.0
655,20.0,635713.0
656,3.7,103973.0
657,31.5,1204547.0
658,2.7,77959.0
659,7.5,192756.0
660,28.1,1025846.0
661,15.2,427211.0
662,49.7,2334279.0
663,5.9,153960.0
664,38.2,1594279.0
665,30.3,1103237.0
666,39.5,1678806.0
667,11.3,314234.0
668,26.1,898739.0
669,22.5,744776.0
670,22.1,730499.0
671,43.0,1909685.0
672,49.5,2411998.0
673,15.3,439961.0
674,31.1,1188300.0
675,30.5,1110526.0
676,37.0,1498582.0
677,47.4,2188848.0
678,10.4,287029.0
679,10.6,297654.0
680,33.0,1287413.0
681,7.9,206902.0
682,8.7,247322.0
683,3.8,106049.0
684,0.1,29873.0
685,22.5,747348.0
686,29.7,1081154.0
687,14.6,420261.0
688,11.6,330154.0
689,35.3,1418046.0
690,35.1,1374459.0
691,22.7,749054.0
692,34.4,1326178.0
693,46.2,2170902.0
694,39.4,1691142.0
695,31.3,1200373.0
696,33.1,1288036.0
697,46.7,2190683.0
698,21.3,686091.0
699,27.2,952790.0
700,32.4,1226490.0
701,45.4,2045757.0
702,41.3,1731393.0
703,3.6,99758.0
704,8.3,229822.0
705,15.4,417489.0
706,37.4,1558722.0
707,28.5,1019519.0
708,14.4,415810.0
709,6.2,162796.0
710,34.4,1392247.0
711,35.0,1390094.0
712,47.1,2167200.0
713,25.0,875047.0
714,24.7,848452.0
715,4.0,115859.0
716,2.0,68146.0
717,21.6,685484.0
718,16.1,461155.0
719,12.5,370504.0
720,4.6,130908.0
721,48.1,2321507.0
722,41.8,1825203.0
723,28.8,1065174.0
724,47.5,2210046.0
725,50.0,2464557.0
726,33.6,1305028.0
727,13.5,386415.0
728,2.0,69970.0
729,37.8,1565860.0
730,23.5,778836.0
731,32.6,1280578.0
732,45.8,2109400.0
733,9.1,259279.0
734,29.3,1109406.0
735,31.7,1193606.0
736,24.6,839974.0
737,4.6,135518.0
738,17.4,520512.0
739,16.7,507812.0
740,33.5,1316833.0
741,42.9,1885283.0
742,16.5,480877.0
743,34.7,1359271.0
744,14.4,418383.0
745,47.3,2245475.0
746,40.7,1778148.0
747,27.5,986040.0
748,22.7,740518.0
749,15.7,468641.0
750,16.2,499439.0
751,48.5,2294459.0
752,20.2,654119.0
753,25.7,877594.0
754,49.4,2349167.0
755,32.9,1299193.0
756,27.1,969254.0
757,20.7,678980.0
758,9.4,263298.0
759,18.1,575400.0
760,37.8,1585291.0
761,31.3,1196743.0
762,38.0,1578260.0
763,10.2,260077.0
764,27.5,942313.0
765,46.4,2160110.0
766,21.9,708341.0
767,34.9,1407786.0
768,6.1,166770.0
769,48.7,2350038.0
770,30.4,1143115.0
771,12.0,341904.0
772,7.9,205210.0
773,27.5,964142.0
774,27.6,960678.0
775,4.7,120789.0
776,49.6,2431241.0
777,45.6,2057292.0
778,23.1,772173.0
779,5.9,157735.0
780,41.6,1827103.0
781,24.9,823211.0
782,35.8,1466084.0
783,25.4,851863.0
784,13.7,390134.0
785,41.7,1846385.0
786,49.0,2356204.0
787,12.2,323044.0
788,27.6,990504.0
789,19.2,596070.0
790,46.1,2100128.0
791,25.4,892946.0
792,44.0,1975431.0
793,43.2,1932233.0
794,13.8,406762.0
795,39.5,1721735.0
796,20.7,669130.0
797,46.7,2120441.0
798,25.4,891606.0
799,41.0,1778371.0
800,14.1,403331.0
801,14.9,414058.0
802,29.3,1083755.0
803,49.9,2451589.0
804,24.5,829017.0
805,7.4,195998.0
806,26.9,952203.0
807,17.3,507420.0
808,27.6,996288.0
809,27.2,969050.0
810,22.8,764871.0
811,16.1,483279.0
812,9.4,250846.0
813,34.9,1398159.0
814,28.6,1052292.0
815,11.7,324621.0
816,38.8,1646293.0
817,2.2,71372.0
818,37.2,1533996.0
819,35.3,1424021.0
820,40.6,1766642.0
821,19.3,592395.0
822,33.2,1298891.0
823,41.0,1818822.0
824,49.0,2387183.0
825,24.8,837381.0
826,1.9,62636.0
827,25.1,843087.0
828,29.5,1083138.0
829,43.5,1942938.0
830,43.7,1934883.0
831,22.0,716985.0
832,26.3,898929.0
833,22.8,753027.0
834,36.1,1457446.0
835,20.5,672241.0
836,32.7,1232898.0
837,7.7,199390.0
838,23.5,753734.0
839,48.5,2362538.0
840,16.9,518952.0
841,34.6,1357900.0
842,32.5,1215811.0
843,42.6,1904261.0
844,42.6,1872299.0
845,43.0,1885504.0
846,19.0,605685.0
847,15.8,481915.0
848,35.9,1442250.0
849,38.0,1547904.0
850,43.6,1944533.0
851,1.8,54788.0
852,3.4,93918.0
853,31.6,1143140.0
854,46.0,2130230.0
855,49.9,2404002.0
856,37.3,1542132.0
857,21.7,697592.0
858,4.9,128492.0
859,31.7,1201433.0
860,43.6,1988322.0
861,22.2,723594.0
862,34.7,1382532.0
863,45.2,2121311.0
864,2.3,77571.0
865,39.8,1678456.0
866,14.7,439799.0
867,18.7,587866.0
868,7.3,193785.0
869,26.6,926548.0
870,28.3,1034678.0
871,39.6,1663696.0
872,8.5,219681.0
873,3.9,102400.0
874,43.5,1908165.0
875,31.0,1120388.0
876,12.0,320196.0
877,45.6,2064523.0
878,7.2,198197.0
879,23.1,778888.0
880,12.7,357920.0
881,12.8,346865.0
882,0.5,38350.0
883,40.2,1747749.0
884,45.1,2073958.0
885,33.9,1317958.0
886,7.9,207846.0
887,22.1,702421.0
888,17.3,520693.0
889,29.4,1054645.0
890,31.9,1238028.0
891,21.2,682447.0
892,12.5,349998.0
893,42.3,1869492.0
894,10.0,269522.0
895,19.2,568062.0
896,24.2,827452.0
897,11.9,332317.0
898,28.6,1009267.0
899,28.7,1050605.0
900,49.6,2378649.0
901,14.8,451701.0
902,48.9,2375493.0
903,32.9,1243578.0
904,13.7,387045.0
905,28.3,1013392.0
906,34.3,1339734.0
907,37.2,1540339.0
908,2.5,74818.0
909,30.3,1128320.0
910,24.8,853696.0
911,45.2,2073370.0
912,14.3,407459.0
913,39.9,1683050.0
914,30.4,1123215.0
915,17.6,560111.0
916,31.8,1193241.0
917,31.0,1173930.0
918,33.9,1336632.0
919,36.0,1463197.0
920,33.0,1303569.0
921,41.9,1844631.0
922,31.4,1215499.0
923,45.2,2071926.0
924,32.3,1205184.0
925,15.4,447023.0
926,22.0,724970.0
927,29.0,1052442.0
928,36.6,1494498.0
929,4.5,117642.0
930,14.8,425408.0
931,37.4,1558084.0
932,8.8,232639.0
933,6.6,171808.0
934,27.0,961360.0
935,48.6,2305591.0
936,26.5,940004.0
937,45.7,2144991.0
938,41.5,1828524.0
939,12.8,361657.0
940,41.2,1798873.0
941,24.1,815648.0
942,40.3,1704799.0
943,37.3,1515466.0
944,16.9,505985.0
945,5.8,152698.0
946,48.1,2268076.0
947,7.0,175450.0
948,48.3,2302630.0
949,43.0,1894494.0
950,36.2,1449283.0
951,49.0,2341368.0
952,48.4,2326538.0
953,40.2,1769230.0
954,18.3,566876.0
955,39.5,1663504.0
956,0.7,34215.0
957,26.8,957014.0
958,22.7,745705.0
959,33.6,1304227.0
960,33.6,1333371.0
961,29.2,1049218.0
962,41.1,1786745.0
963,47.0,2166699.0
964,5.4,126873.0
965,11.7,313069.0
966,1.3,56266.0
967,44.2,1989524.0
968,28.1,1039792.0
969,45.8,2159111.0
970,11.1,312289.0
971,3.2,91143.0
972,41.2,1825644.0
973,45.5,2121166.0
974,15.1,419608.0
975,20.4,662104.0
976,7.0,180629.0
977,47.3,2234884.0
978,15.2,440218.0
979,24.6,820448.0
980,4.9,129325.0
981,44.4,2008995.0
982,6.8,191570.0
983,22.7,746652.0
984,33.5,1308348.0
985,37.2,1483586.0
986,47.3,2218084.0
987,21.0,685733.0
988,37.1,1492778.0
989,7.7,202516.0
990,20.7,662041.0
991,5.0,137302.0
992,24.5,831409.0
993,20.4,643507.0
994,47.6,2308935.0
995,1.6,66644.0
996,18.5,549028.0
997,22.2,741962.0
998,47.5,2250454.0
999,42.8,1910714.0
1000,5.0,129161.0
1001,34.3,1355229.0
1002,27.2,967194.0
1003,48.9,2314107.0
1004,17.9,536163.0
1005,19.9,608532.0
1006,9.5,258068.0
1007,6.1,157339.0
1008,42.4,1885633.0
1009,22.7,752842.0
1010,33.1,1270616.0
1011,32.1,1266128.0
1012,29.9,1107332.0
1013,1.1,54336.0
1014,39.3,1674658.0
1015,12.2,328496.0
1016,6.3,173678.0
1017,28.2,1042069.0
1018,3.4,90075.0
1019,38.3,1624310.0
1020,10.4,290012.0
1021,10.8,285902.0
1022,43.5,1974614.0
1023,16.4,495533.0
1024,7.4,196041.0
1025,45.0,2022176.0
1026,0.1,28108.0
1027,42.9,1903715.0
1028,7.2,200673.0
1029,6.5,180161.0
1030,12.5,347442.0
1031,8.7,225360.0
1032,33.1,1279745.0
1033,1.3,59808.0
1034,0.7,38274.0
1035,39.5,1663521.0
1036,11.9,327203.0
1037,16.2,475897.0
1038,8.7,230063.0
1039,2.6,88307.0
1040,37.1,1504043.0
1041,26.3,929343.0
1042,37.3,1523631.0
1043,23.8,791223.0
1044,38.9,1634862.0
1045,25.7,882689.0
1046,5.5,151223.0
1047,25.2,862460.0
1048,47.3,2200181.0
1049,2.2,80700.0
1050,39.2,1679976.0
1051,43.3,1930495.0
1052,26.1,896653.0
1053,22.9,760071.0
1054,48.2,2281795.0
1055,3.0,85155.0
1056,23.9,785851.0
1057,20.1,601560.0
1058,34.3,1352550.0
1059,24.5,805440.0
1060,45.5,2097094.0
1061,3.7,104624.0
1062,4.0,107954.0
1063,30.4,1173198.0
1064,3.3,93851.0
1065,13.8,380934.0
1066,31.7,1171635.0
1067,27.4,973071.0
1068,16.3,476421.0
1069,49.7,2416519.0
1070,26.5,931443.0
1071,22.7,769499.0
1072,30.3,1093889.0
1073,5.0,130995.0
1074,35.1,1423502.0
1075,42.6,1852833.0
1076,32.5,1258098.0
1077,38.4,1620733.0
1078,36.0,1436147.0
1079,10.8,283391.0
1080,22.6,741888.0
1081,11.4,314419.0
1082,16.9,492583.0
1083,22.7,751099.0
1084,20.8,669549.0
1085,4.8,120425.0
1086,21.3,670414.0
1087,33.3,1299861.0
1088,18.7,581716.0
1089,7.6,192939.0
1090,46.1,2160637.0
1091,3.4,95914.0
1092,41.6,1837316.0
1093,4.7,128725.0
1094,4.8,132399.0
1095,36.9,1532141.0
1096,40.6,1737245.0
1097,27.8,1003592.0
1098,29.3,1061406.0
1099,28.1,1009591.0
1100,16.5,505332.0
1101,6.1,161882.0
1102,17.7,545480.0
1103,33.3,1271211.0
1104,37.5,1553568.0
1105,43.4,1961543.0
1106,36.1,1439361.0
1107,48.4,2283750.0
1108,30.0,1110400.0
1109,17.6,517261.0
1110,28.9,1043963.0
1111,10.6,284342.0
1112,32.8,1275773.0
1113,11.2,307157.0
1114,5.4,156279.0
1115,42.3,1884358.0
1116,18.4,570150.0
1117,38.1,1625422.0
1118,28.7,1036437.0
1119,40.4,1748084.0
1120,42.3,1886273.0
1121,48.7,2330369.0
1122,40.9,1755958.0
1123,30.7,1137647.0
1124,32.1,1251714.0
1125,1.3,53981.0
1126,46.5,2162136.0
1127,41.5,1846447.0
1128,13.4,368330.0
1129,9.0,245561.0
1130,35.1,1378612.0
1131,15.4,445644.0
1132,17.0,500666.0
1133,0.3,32019.0
1134,43.5,1903976.0
1135,28.3,1009145.0
1136,20.0,639204.0
1137,7.1,202279.0
1138,31.7,1205717.0
1139,1.5,59923.0
1140,37.3,1530061.0
1141,10.8,282631.0
1142,21.0,671637.0
1143,17.0,514816.0
1144,18.5,553474.0
1145,36.1,1497843.0
1146,38.8,1648650.0
1147,28.4,1030991.0
1148,4.2,125165.0
1149,2.6,83363.0
1150,7.9,201890.0
1151,30.9,1181376.0
1152,33.7,1274057.0
1153,13.6,394057.0
1154,33.1,1266495.0
1155,24.3,815936.0
1156,22.1,728405.0
1157,13.7,415600.0
1158,37.7,1572496.0
1159,5.7,149222.0
1160,21.5,691830.0
1161,14.2,434923.0
1162,33.9,1314971.0
1163,24.3,806436.0
1164,33.4,1303631.0
1165,2.3,75295.0
1166,19.8,640970.0
1167,30.0,1133425.0
1168,0.4,40388.0
1169,15.1,419292.0
1170,10.6,290039.0
1171,6.9,177975.0
1172,12.8,352732.0
1173,16.4,465543.0
1174,0.4,35760.0
1175,37.4,1560583.0
1176,8.8,234928.0
1177,19.0,601331.0
1178,35.2,1388040.0
1179,25.0,856235.0
1180,41.7,1766510.0
1181,40.3,1707051.0
1182,3.6,109000.0
1183,43.1,1910314.0
1184,2.1,72410.0
1185,0.9,45847.0
1186,46.1,2127141.0
1187,43.1,1918009.0
1188,28.8,1019180.0
1189,28.7,1020319.0
1190,35.5,1446013.0
1191,20.9,669284.0
1192,5.8,159610.0
1193,1.0,48540.0
1194,16.2,461925.0
1195,40.1,1747169.0
1196,30.9,1160596.0
1197,41.6,1849335.0
1198,46.0,2162143.0
1199,4.4,123745.0
1200,42.2,1822818.0
1201,12.2,345971.0
